ticket_id,ticket_text,issue_type,urgency_level,product,ticket_length,char_count,sentiment_score,monetary_value,priority_score
29,FitRun Treadmill malfunction stopped working 2 day,Product Defect,Low,FitRun Treadmill,7,50,-0.2263,2.0,1
30,28983 SmartWatch V2 17 day late ordered 05 may also contacted 05 may got response,Late Delivery,High,SmartWatch V2,15,81,0.0,29012.0,3
31,payment issue fr mi EcoBreeze AC charged twice fr 64374,Billing Problem,Low,EcoBreeze AC,10,55,-0.2023,64374.0,1
32,FitRun Treadmill lost stopped working 3 day also contacted 08 may got response,Product Defect,Low,FitRun Treadmill,13,78,-0.4939,11.0,1
33,79265 EcoBreeze AC 15 day late ordered 17 march,Late Delivery,Low,EcoBreeze AC,9,47,0.0,79297.0,1
34,payment problem fr 88128 need urgent help,Billing Problem,Low,RoboChef Blender,7,41,0.2023,88128.0,1
35,58187 EcoBreeze AC 11 day late ordered 30 march,Late Delivery,Low,EcoBreeze AC,9,47,0.0,58228.0,1
36,RoboChef Blender malfunction stopped working 9 day,Product Defect,High,RoboChef Blender,7,50,-0.2263,9.0,3
37,cant log account keep showing blocked help delivery expected 04 march,Account Access,High,FitRun Treadmill,11,69,0.1531,4.0,3
38,,Billing Problem,High,PhotoSnap Cam,1,3,0.0,0.0,3
39,payment issue ProTab X1 charged twice 14510,Billing Problem,Medium,ProTab X1,7,43,-0.2023,14511.0,2
40,facing installation issue FitRun Treadmill setup fails step 4,Installation Issue,High,FitRun Treadmill,9,61,-0.4215,4.0,3
41,payment issue FitRun Treadmill refunded 91776,Billing Problem,Low,FitRun Treadmill,6,45,0.0,91776.0,1
42,cant log account keep showing captcha failed help,Account Access,Medium,PhotoSnap Cam,8,49,-0.1531,0.0,2
43,,Billing Problem,Medium,ProTab X1,1,3,0.0,0.0,2
44,cant log account keep showing unknown issue help,Account Access,High,SoundWave 300,8,48,0.4019,0.0,3
45,facing installation issue RoboChef Blender setup fails step 2,Installation Issue,Low,RoboChef Blender,9,61,-0.4215,2.0,1
46,tell warranty also available black,General Inquiry,High,UltraClean Vacuum,5,34,0.0,0.0,3
47,facing installation issue PowerMax Battery setup fails step 2,Installation Issue,Medium,PowerMax Battery,9,61,-0.4215,2.0,2
48,tell ProTab X1 warranty also available red,General Inquiry,Low,ProTab X1,7,42,0.0,1.0,1
49,facing installation issue wit EcoBreeze AC setup fails step 2,Installation Issue,Medium,EcoBreeze AC,10,61,-0.4215,2.0,2
50,led Vision LED TV lost stopped working 3 day also contacted 18 may got response,Product Defect,High,Vision LED TV,15,79,-0.296,21.0,3
51,tell ProTab X1 warranty also available white also contacted 04 april got response delivery expected 04 april,General Inquiry,High,ProTab X1,17,108,0.0,9.0,3
52,tell FitRun Treadmill warranty also available white also contacted 13 april got response,General Inquiry,High,FitRun Treadmill,13,88,0.0,13.0,3
53,facing installation issue EcoBreeze AC setup fails step 6 delivery expected 26 april,Installation Issue,High,EcoBreeze AC,13,84,-0.4215,32.0,3
54,payment issue fr mi charged twice fr 45453,Billing Problem,High,UltraClean Vacuum,8,42,-0.2023,45453.0,3
55,cant log account keep showing blocked help,Account Access,Medium,SoundWave 300,7,42,0.1531,0.0,2
56,facing installation issue led Vision LED TV setup fails step 2,Installation Issue,Low,Vision LED TV,11,62,-0.2023,2.0,1
57,payment issue led Vision LED TV refunded 77581,Billing Problem,Medium,Vision LED TV,8,46,0.25,77581.0,2
58,tell warranty also available white delivery expected 19 march,General Inquiry,High,Vision LED TV,9,61,0.0,19.0,3
59,ordered SmartWatch V2 got PowerMax Battery instead 65084 delivery expected 12 april,Wrong Item,Low,SmartWatch V2,12,83,0.0,65098.0,1
60,payment issue ProTab X1 debited incorrectly 19053,Billing Problem,Medium,ProTab X1,7,49,0.0,19054.0,2
61,payment issue FitRun Treadmill overbilled 84201 also contacted 16 may got response,Billing Problem,High,FitRun Treadmill,12,82,0.0,84217.0,3
62,payment problem 67337 need urgent help delivery expected 19 march,Billing Problem,Low,PhotoSnap Cam,10,65,0.2023,67356.0,1
63,ordered PowerMax Battery got ProTab X1 instead 97429 also contacted 07 april got response,Wrong Item,High,PowerMax Battery,14,89,0.0,97437.0,3
64,PhotoSnap Cam faulty stopped working 7 day,Product Defect,Medium,PhotoSnap Cam,7,42,-0.4939,7.0,2
65,tell led Vision LED TV warranty also available blue,General Inquiry,Low,Vision LED TV,9,51,0.25,0.0,1
66,95306 PhotoSnap Cam 17 day late ordered 09 march,Late Delivery,Low,PhotoSnap Cam,9,48,0.0,95332.0,1
67,96823 SmartWatch V2 14 day late ordered 16 march,Late Delivery,Medium,SmartWatch V2,9,48,0.0,96855.0,2
68,cant log account keep showing captcha failed help,Account Access,High,Vision LED TV,8,49,-0.1531,0.0,3
69,facing installation issue SoundWave 300 setup fails step 6 also contacted 06 april got response,Installation Issue,Medium,SoundWave 300,15,95,-0.4215,312.0,2
70,payment issue SmartWatch V2 refunded 40696,Billing Problem,Low,SmartWatch V2,6,42,0.0,40698.0,1
71,tell PhotoSnap Cam warranty also available red also contacted 11 march got response,General Inquiry,Medium,PhotoSnap Cam,13,83,0.0,11.0,2
72,53287 PowerMax Battery 8 day late ordered 08 april,Late Delivery,Medium,PowerMax Battery,9,50,0.0,53303.0,2
73,facing installation issue setup fails step 2,Installation Issue,Medium,UltraClean Vacuum,7,44,-0.4215,2.0,2
74,facing installation issue setup fails step 2,Installation Issue,High,ProTab X1,7,44,-0.4215,2.0,3
75,error stopped working 5 day,Product Defect,Low,EcoBreeze AC,5,27,-0.5574,5.0,2
76,facing installation issue setup fails step 3,Installation Issue,Low,EcoBreeze AC,7,44,-0.4215,3.0,1
77,61645 PhotoSnap Cam 18 day late ordered 03 april also contacted 03 april got response,Late Delivery,Medium,PhotoSnap Cam,15,85,0.0,61669.0,2
78,payment issue SoundWave 300 overbilled 57017,Billing Problem,Medium,SoundWave 300,6,44,0.0,57317.0,2
79,payment issue fr mi PhotoSnap Cam underbilled fr 45489,Billing Problem,Medium,PhotoSnap Cam,9,54,0.0,45489.0,2
80,29495 ProTab X1 14 day late ordered 01 may also contacted 01 may got response,Late Delivery,High,ProTab X1,15,77,0.0,29512.0,3
81,ordered PhotoSnap Cam got FitRun Treadmill instead 64401,Wrong Item,Medium,PhotoSnap Cam,8,56,0.0,64401.0,2
82,tell SoundWave 300 warranty also available black,General Inquiry,High,SoundWave 300,7,48,0.0,300.0,3
83,facing installation issue setup fails step 1,Installation Issue,High,FitRun Treadmill,7,44,-0.4215,1.0,3
84,,General Inquiry,Low,RoboChef Blender,1,3,0.0,0.0,1
85,tell warranty also available blue,General Inquiry,Medium,SmartWatch V2,5,33,0.0,0.0,2
86,ordered SmartWatch V2 got SoundWave 300 instead 24006,Wrong Item,Medium,SmartWatch V2,8,53,0.0,24308.0,2
87,PowerMax Battery glitchy stopped working 7 day,Product Defect,Low,PowerMax Battery,7,46,-0.2263,7.0,1
88,ordered got SmartWatch V2 instead 67796,Wrong Item,High,PowerMax Battery,6,39,0.0,67798.0,3
89,tell ProTab X1 warranty also available white also contacted 08 march got response,General Inquiry,High,ProTab X1,13,81,0.0,9.0,3
90,tell PowerMax Battery warranty also available black delivery expected 09 april,General Inquiry,High,PowerMax Battery,11,78,0.0,9.0,3
91,70536 PowerMax Battery 4 day late ordered 01 may,Late Delivery,Medium,PowerMax Battery,9,48,0.0,70541.0,2
92,ordered got SoundWave 300 instead 93122,Wrong Item,Medium,PhotoSnap Cam,6,39,0.0,93422.0,2
93,ordered SmartWatch V2 got ProTab X1 instead 76301,Wrong Item,High,SmartWatch V2,8,49,0.0,76304.0,3
94,facing installation issue PowerMax Battery setup fails step 1,Installation Issue,Low,PowerMax Battery,9,61,-0.4215,1.0,1
95,84203 led Vision LED TV 5 day late ordered 30 april,Late Delivery,High,Vision LED TV,11,51,0.25,84238.0,3
96,facing installation issue PowerMax Battery setup fails step 6 delivery expected 04 may,Installation Issue,Medium,PowerMax Battery,13,86,-0.4215,10.0,2
97,tell teh ProTab X1 warranty also available white,General Inquiry,High,ProTab X1,8,48,0.0,1.0,3
98,cant log account keep showing blocked help,Account Access,Medium,SoundWave 300,7,42,0.1531,0.0,2
99,tell SmartWatch V2 warranty also available black,General Inquiry,Medium,SmartWatch V2,7,48,0.0,2.0,2
100,facing installation issue SoundWave 300 setup fails step 4,Installation Issue,Medium,SoundWave 300,9,58,-0.4215,304.0,2
101,cant log account keep showing unknown issue help,Account Access,Medium,UltraClean Vacuum,8,48,0.4019,0.0,2
102,tell ProTab X1 warranty also available blue,General Inquiry,High,ProTab X1,7,43,0.0,1.0,3
103,payment problem 77517 need urgent help,Billing Problem,High,UltraClean Vacuum,6,38,0.2023,77517.0,3
104,payment issue PowerMax Battery charged twice 97621,Billing Problem,High,PowerMax Battery,7,50,-0.2023,97621.0,3
105,tell teh ProTab X1 warranty also available black also contacted 28 april got response,General Inquiry,Low,ProTab X1,14,85,0.0,29.0,1
106,payment issue ProTab X1 underbilled 71399 delivery expected 30 march,Billing Problem,High,ProTab X1,10,68,0.0,71430.0,3
107,36632 EcoBreeze AC 15 day late ordered 13 may,Late Delivery,High,EcoBreeze AC,9,45,0.0,36660.0,3
108,payment issue fr mi SmartWatch V2 debited incorrectly fr 98192,Billing Problem,Low,SmartWatch V2,10,62,0.0,98194.0,1
109,tell EcoBreeze AC warranty also available white,General Inquiry,Low,EcoBreeze AC,7,47,0.0,0.0,1
110,cant log account keep showing reset required help,Account Access,Low,PhotoSnap Cam,8,49,0.4019,0.0,1
111,28158 6 day late ordered 05 may,Late Delivery,Medium,UltraClean Vacuum,7,31,0.0,28169.0,2
112,cant log account keep showing error help,Account Access,Low,SoundWave 300,7,40,0.0,0.0,1
113,item stock,General Inquiry,High,ProTab X1,2,10,0.0,0.0,3
114,cant log mi account keep showing unknown issue help,Account Access,Medium,PowerMax Battery,9,51,0.4019,0.0,2
115,ordered RoboChef Blender got ProTab X1 instead 79479,Wrong Item,Low,RoboChef Blender,8,52,0.0,79480.0,1
116,85238 PowerMax Battery 3 day late ordered 15 april,Late Delivery,Medium,PowerMax Battery,9,50,0.0,85256.0,2
117,facing installation issue led Vision LED TV setup fails step 4 also contacted 24 april got response,Installation Issue,Low,Vision LED TV,17,99,-0.2023,28.0,1
118,facing installation issue FitRun Treadmill setup fails step 1 delivery expected 19 may,Installation Issue,Medium,FitRun Treadmill,13,86,-0.4215,20.0,2
119,led Vision LED TV malfunction stopped working 6 day,Product Defect,High,Vision LED TV,9,51,0.0258,6.0,3
120,facing installation issue UltraClean Vacuum setup fails step 6,Installation Issue,Medium,UltraClean Vacuum,9,62,-0.4215,6.0,2
121,55525 RoboChef Blender 1 day late ordered 08 march,Late Delivery,Low,RoboChef Blender,9,50,0.0,55534.0,1
122,payment issue overbilled 65725,Billing Problem,High,Vision LED TV,4,30,0.0,65725.0,3
123,tell ProTab X1 warranty also available white,General Inquiry,High,ProTab X1,7,44,0.0,1.0,3
124,SmartWatch V2 defective stopped working 1 day,Product Defect,High,SmartWatch V2,7,45,-0.5859,3.0,4
125,led Vision LED TV damaged stopped working 4 day,Product Defect,Low,Vision LED TV,9,47,-0.4215,4.0,1
126,cant log account keep showing error help,Account Access,High,ProTab X1,7,40,0.0,0.0,3
127,cant log account keep showing captcha failed help also contacted 06 april got response,Account Access,Low,Vision LED TV,14,86,-0.1531,6.0,1
128,68715 RoboChef Blender 17 day late ordered 19 april,Late Delivery,Low,RoboChef Blender,9,51,0.0,68751.0,1
129,product info needed,General Inquiry,Medium,FitRun Treadmill,3,19,0.0,0.0,2
130,payment issue FitRun Treadmill overbilled 17828,Billing Problem,Low,FitRun Treadmill,6,47,0.0,17828.0,1
131,facing installation issue EcoBreeze AC setup fails step 6,Installation Issue,Low,EcoBreeze AC,9,57,-0.4215,6.0,1
132,PhotoSnap Cam glitchy stopped working 12 day also contacted 29 april got response,Product Defect,High,PhotoSnap Cam,13,81,-0.2263,41.0,3
133,payment issue SmartWatch V2 underbilled 94863 also contacted 09 april got response,Billing Problem,High,SmartWatch V2,12,82,0.0,94874.0,3
134,ProTab X1 glitchy stopped working 12 day,Product Defect,Medium,ProTab X1,7,40,-0.2263,13.0,2
135,97549 ProTab X1 5 day late ordered 30 april,Late Delivery,Medium,ProTab X1,9,43,0.0,97585.0,2
136,facing installation issue PhotoSnap Cam setup fails step 6,Installation Issue,High,PhotoSnap Cam,9,58,-0.4215,6.0,3
137,cant log account keep showing captcha failed help,Account Access,High,PowerMax Battery,8,49,-0.1531,0.0,3
138,58122 RoboChef Blender 9 day late ordered 10 may also contacted 10 may got response,Late Delivery,High,RoboChef Blender,15,83,0.0,58151.0,3
139,cant log account keep showing reset required help,Account Access,Medium,ProTab X1,8,49,0.4019,0.0,2
140,payment issue UltraClean Vacuum debited incorrectly 76140,Billing Problem,Medium,UltraClean Vacuum,7,57,0.0,76140.0,2
141,,Installation Issue,Low,Vision LED TV,1,3,0.0,0.0,1
142,FitRun Treadmill charged stopped working 12 day,Product Defect,High,FitRun Treadmill,7,47,-0.4019,12.0,3
143,cant log account keep showing error help,Account Access,Low,RoboChef Blender,7,40,0.0,0.0,1
144,ordered EcoBreeze AC got UltraClean Vacuum instead 97605,Wrong Item,High,EcoBreeze AC,8,56,0.0,97605.0,3
145,account problem assistance needed,Account Access,Low,FitRun Treadmill,4,33,-0.4019,0.0,1
146,payment issue PowerMax Battery overbilled 18696,Billing Problem,Low,PowerMax Battery,6,47,0.0,18696.0,1
147,SmartWatch V2 response stopped working 5 day delivery expected 25 april,Product Defect,High,SmartWatch V2,11,71,-0.2263,32.0,3
148,led Vision LED TV broken stopped working 1 day,Product Defect,High,Vision LED TV,9,46,-0.4588,1.0,3
149,facing installation issue setup fails step 2,Installation Issue,High,PowerMax Battery,7,44,-0.4215,2.0,3
150,31364 placed 15 may still,Late Delivery,High,EcoBreeze AC,5,25,0.0,31379.0,3
151,PowerMax Battery FitRun Treadmill received giving issue delivery expected 16 april,Product Defect,Low,PowerMax Battery,11,82,0.34,16.0,1
152,PhotoSnap Cam led Vision LED TV faulty giving issue,Product Defect,High,PhotoSnap Cam,9,51,0.2732,0.0,3
153,working stopped working 12 day,Product Defect,High,ProTab X1,5,30,-0.2263,12.0,3
154,tell ProTab X1 warranty also available blue,General Inquiry,Low,ProTab X1,7,43,0.0,1.0,1
155,payment issue refunded 59838 also contacted 14 may got response,Billing Problem,Low,FitRun Treadmill,10,63,0.0,59852.0,1
156,tell teh EcoBreeze AC warranty also available black,General Inquiry,Low,EcoBreeze AC,8,51,0.0,0.0,1
157,58051 RoboChef Blender 16 day late ordered 07 march,Late Delivery,High,RoboChef Blender,9,51,0.0,58074.0,3
158,payment issue EcoBreeze AC charged twice 26025,Billing Problem,Low,EcoBreeze AC,7,46,-0.2023,26025.0,1
159,40339 PhotoSnap Cam 13 day late ordered 25 april,Late Delivery,Low,PhotoSnap Cam,9,48,0.0,40377.0,1
160,payment issue fr mi RoboChef Blender charged twice fr 81706,Billing Problem,Medium,RoboChef Blender,10,59,-0.2023,81706.0,2
161,90105 UltraClean Vacuum 1 day late ordered 03 march,Late Delivery,Low,UltraClean Vacuum,9,51,0.0,90109.0,1
162,cant log account keep showing captcha failed help,Account Access,Low,SoundWave 300,8,49,-0.1531,0.0,1
163,cant log account keep showing captcha failed help,Account Access,Low,Vision LED TV,8,49,-0.1531,0.0,1
164,tell ProTab X1 warranty also available white,General Inquiry,Low,ProTab X1,7,44,0.0,1.0,1
165,tell PowerMax Battery warranty also available red,General Inquiry,High,PowerMax Battery,7,49,0.0,0.0,3
166,account problem assistance needed also contacted 12 march got response,Account Access,Medium,PowerMax Battery,10,70,-0.4019,12.0,2
167,cant log account keep showing error help also contacted 23 march got response,Account Access,Low,PowerMax Battery,13,77,0.0,23.0,1
168,58396 PowerMax Battery 16 day late ordered 03 april also contacted 03 april got response,Late Delivery,High,PowerMax Battery,15,88,0.0,58418.0,3
169,payment issue SoundWave 300 refunded 45749,Billing Problem,High,SoundWave 300,6,42,0.0,46049.0,3
170,payment issue led Vision LED TV debited incorrectly 63168,Billing Problem,High,Vision LED TV,9,57,0.25,63168.0,3
171,account problem assistance needed,Account Access,High,FitRun Treadmill,4,33,-0.4019,0.0,3
172,tell EcoBreeze AC warranty also available blue,General Inquiry,Low,EcoBreeze AC,7,46,0.0,0.0,1
173,84031 SmartWatch V2 6 day late ordered 04 march,Late Delivery,Low,SmartWatch V2,9,47,0.0,84043.0,1
174,received wrong product mixed,Wrong Item,Medium,EcoBreeze AC,4,28,-0.4767,0.0,2
175,cant log mi account keep showing unknown issue help,Account Access,Medium,EcoBreeze AC,9,51,0.4019,0.0,2
176,item stock delivery expected 05 may,General Inquiry,Medium,SoundWave 300,6,35,0.0,5.0,2
177,cant log account keep showing reset required help,Account Access,High,SoundWave 300,8,49,0.4019,0.0,3
178,cant access account also contacted 12 may got response,Account Access,High,SmartWatch V2,9,54,0.0,12.0,3
179,34198 SmartWatch V2 15 day late ordered 05 march,Late Delivery,Medium,SmartWatch V2,9,48,0.0,34220.0,2
180,facing installation issue SoundWave 300 setup fails step 4,Installation Issue,Low,SoundWave 300,9,58,-0.4215,304.0,1
181,facing installation issue RoboChef Blender setup fails step 6,Installation Issue,Low,RoboChef Blender,9,61,-0.4215,6.0,1
182,tell SmartWatch V2 warranty also available red also contacted 16 march got response,General Inquiry,High,SmartWatch V2,13,83,0.0,18.0,3
183,cant log account keep showing reset required help,Account Access,High,Vision LED TV,8,49,0.4019,0.0,3
184,payment issue FitRun Treadmill overbilled 81052,Billing Problem,High,FitRun Treadmill,6,47,0.0,81052.0,3
185,ordered SmartWatch V2 got PowerMax Battery instead 37056 also contacted 06 may got response,Wrong Item,Low,SmartWatch V2,14,91,0.0,37064.0,1
186,PowerMax Battery working stopped working 5 day,Product Defect,Low,PowerMax Battery,7,46,-0.2263,5.0,1
187,35506 EcoBreeze AC 8 day late ordered 27 march,Late Delivery,High,EcoBreeze AC,9,46,0.0,35541.0,3
188,RoboChef Blender malfunction stopped working 3 day,Product Defect,High,RoboChef Blender,7,50,-0.2263,3.0,3
189,PhotoSnap Cam SoundWave 300 cracked giving issue delivery expected 17 march,Product Defect,Medium,PhotoSnap Cam,11,75,0.34,317.0,2
190,facing installation issue RoboChef Blender setup fails step 2,Installation Issue,Medium,RoboChef Blender,9,61,-0.4215,2.0,2
191,tell UltraClean Vacuum warranty also available red,General Inquiry,High,UltraClean Vacuum,7,50,0.0,0.0,3
192,facing installation issue led Vision LED TV setup fails step 5,Installation Issue,Medium,Vision LED TV,11,62,-0.2023,5.0,2
193,ordered EcoBreeze AC got PowerMax Battery instead 70963,Wrong Item,Medium,EcoBreeze AC,8,55,0.0,70963.0,2
194,86969 FitRun Treadmill 16 day late ordered 04 may,Wrong Item,Low,FitRun Treadmill,9,49,0.0,86989.0,1
195,payment issue fr mi PhotoSnap Cam refunded fr 55921 also contacted 09 march got response,Billing Problem,Low,PhotoSnap Cam,15,88,0.0,55930.0,1
196,led Vision LED TV late stopped working 7 day,Product Defect,High,Vision LED TV,9,44,0.0258,7.0,3
197,able install product also contacted 09 march got response,Installation Issue,Medium,PowerMax Battery,9,57,0.0,9.0,2
198,ordered SmartWatch V2 got v2 instead 52790,Wrong Item,Medium,SmartWatch V2,7,42,0.0,52794.0,2
199,cant log account keep showing unknown issue help,Account Access,High,PhotoSnap Cam,8,48,0.4019,0.0,3
200,ordered UltraClean Vacuum got vacuum instead 31416 also contacted 02 april got response,Wrong Item,High,UltraClean Vacuum,13,87,0.0,31418.0,3
201,tell SmartWatch V2 warranty also available red,General Inquiry,Medium,SmartWatch V2,7,46,0.0,2.0,2
202,facing installation issue setup fails step 3,Installation Issue,Medium,SmartWatch V2,7,44,-0.4215,3.0,2
203,cant log account keep showing reset required help,Account Access,Medium,PhotoSnap Cam,8,49,0.4019,0.0,2
204,tell FitRun Treadmill warranty also available blue,General Inquiry,Medium,FitRun Treadmill,7,50,0.0,0.0,2
205,tell led Vision LED TV warranty also available blue also contacted 29 march got response,General Inquiry,High,Vision LED TV,15,88,0.25,29.0,3
206,facing installation issue RoboChef Blender setup fails step 5,Installation Issue,Low,RoboChef Blender,9,61,-0.4215,5.0,1
207,cant log account keep showing reset required help also contacted 04 may got response delivery expected 04 may,Account Access,Medium,RoboChef Blender,18,109,0.4019,8.0,2
208,UltraClean Vacuum defective stopped working 1 day,Product Defect,Low,UltraClean Vacuum,7,49,-0.5859,1.0,2
209,46182 EcoBreeze AC 9 day late ordered 19 may,Late Delivery,Low,EcoBreeze AC,9,44,0.0,46210.0,1
210,facing installation issue SmartWatch V2 setup fails step 1,Installation Issue,Low,SmartWatch V2,9,58,-0.4215,3.0,1
211,ordered got SoundWave 300 instead 23976,Wrong Item,High,EcoBreeze AC,6,39,0.0,24276.0,3
212,,Product Defect,Medium,SmartWatch V2,1,3,0.0,0.0,2
213,payment issue led Vision LED TV debited incorrectly 39849,Billing Problem,Low,Vision LED TV,9,57,0.25,39849.0,1
214,payment problem fr 94367 need urgent help,Billing Problem,Low,SoundWave 300,7,41,0.2023,94367.0,1
215,26115 4 day late ordered 24 april,Late Delivery,Low,ProTab X1,7,33,0.0,26143.0,1
216,ordered got PowerMax Battery instead 90318,Wrong Item,High,SmartWatch V2,6,42,0.0,90318.0,3
217,payment issue SmartWatch V2 underbilled 44795,Billing Problem,Medium,SmartWatch V2,6,45,0.0,44797.0,2
218,facing installation issue UltraClean Vacuum setup fails step 3,Installation Issue,Low,UltraClean Vacuum,9,62,-0.4215,3.0,1
219,facing installation issue setup fails step 2 also contacted 19 march got response,Installation Issue,Low,PowerMax Battery,13,81,-0.4215,21.0,1
220,able install product,Installation Issue,High,SmartWatch V2,3,20,0.0,0.0,3
221,facing installation issue RoboChef Blender setup fails step 1,Installation Issue,Medium,RoboChef Blender,9,61,-0.4215,1.0,2
222,payment issue PowerMax Battery refunded 68783 also contacted 13 march got response,Billing Problem,Low,PowerMax Battery,12,82,0.0,68796.0,1
223,tell PhotoSnap Cam warranty also available red,General Inquiry,Low,PhotoSnap Cam,7,46,0.0,0.0,1
224,,Installation Issue,Medium,PowerMax Battery,1,3,0.0,0.0,2
225,tell warranty also available red,General Inquiry,Medium,ProTab X1,5,32,0.0,0.0,2
226,facing installation issue SoundWave 300 setup fails step 1,Installation Issue,Medium,SoundWave 300,9,58,-0.4215,301.0,2
227,able install product delivery expected 26 march,Installation Issue,Low,PhotoSnap Cam,7,47,0.0,26.0,1
228,SoundWave 300 late stopped working 12 day,Product Defect,Medium,SoundWave 300,7,41,-0.2263,312.0,2
229,payment issue PowerMax Battery overbilled 61694,Billing Problem,Medium,PowerMax Battery,6,47,0.0,61694.0,2
230,98576 PowerMax Battery 3 day late ordered 06 may,Late Delivery,Medium,PowerMax Battery,9,48,0.0,98585.0,2
231,payment issue charged twice 70857,Billing Problem,High,PhotoSnap Cam,5,33,-0.2023,70857.0,3
232,UltraClean Vacuum ProTab X1 lost giving issue also contacted 24 march got response,Product Defect,High,UltraClean Vacuum,13,82,0.0258,25.0,3
233,payment issue overbilled 41191,Billing Problem,Medium,UltraClean Vacuum,4,30,0.0,41191.0,2
234,EcoBreeze AC received stopped working 4 day,Product Defect,Medium,EcoBreeze AC,7,43,-0.2263,4.0,2
235,cant log account keep showing error help,Account Access,Low,FitRun Treadmill,7,40,0.0,0.0,1
236,61028 PhotoSnap Cam 6 day late ordered 08 march,Late Delivery,Medium,PhotoSnap Cam,9,47,0.0,61042.0,2
237,PowerMax Battery glitchy stopped working 10 day also contacted 14 may got response,Product Defect,High,PowerMax Battery,13,82,-0.2263,24.0,3
238,tell ProTab X1 warranty also available blue,General Inquiry,Low,ProTab X1,7,43,0.0,1.0,1
239,defective stopped working 2 day also contacted 11 march got response,Product Defect,Medium,ProTab X1,11,68,-0.5859,13.0,3
240,cant log account keep showing captcha failed help also contacted 15 march got response delivery expected 15 march,Account Access,Low,Vision LED TV,18,113,-0.1531,30.0,1
241,ordered RoboChef Blender got UltraClean Vacuum instead 75624,Wrong Item,Low,RoboChef Blender,8,60,0.0,75624.0,1
242,cant log account keep showing error help also contacted 13 april got response delivery expected 13 april,Account Access,Low,RoboChef Blender,17,104,0.0,26.0,1
243,facing installation issue EcoBreeze AC setup fails step 6,Installation Issue,High,EcoBreeze AC,9,57,-0.4215,6.0,3
244,99210 FitRun Treadmill 11 day late ordered 30 march,Late Delivery,Medium,FitRun Treadmill,9,51,0.0,99251.0,2
245,cant log account keep showing reset required help,Account Access,Low,ProTab X1,8,49,0.4019,0.0,1
